Date,SP_500_Return
02/28/2015,5.75
03/31/2015,-1.58
04/30/2015,0.96
05/31/2015,1.29
06/30/2015,-1.94
07/31/2015,2.09
08/31/2015,-6.03
09/30/2015,-2.47
10/31/2015,8.43
11/30/2015,0.3
12/31/2015,-1.58
01/31/2016,-4.96
02/29/2016,-0.13
03/31/2016,6.78
04/30/2016,0.39
05/31/2016,1.8
06/30/2016,0.26
07/31/2016,3.69
08/31/2016,0.14
09/30/2016,0.02
10/31/2016,-1.82
11/30/2016,3.7
12/31/2016,1.98
01/31/2017,1.9
02/28/2017,3.97
03/31/2017,0.12
04/30/2017,1.03
05/31/2017,1.41
06/30/2017,0.62
07/31/2017,2.06
08/31/2017,0.31
09/30/2017,2.06
10/31/2017,2.33
11/30/2017,3.07
12/31/2017,1.11
01/31/2018,5.73
02/28/2018,-3.69
03/31/2018,-2.54
04/30/2018,0.38
05/31/2018,2.41
06/30/2018,0.62
07/31/2018,3.72
08/31/2018,3.26
09/30/2018,0.57
10/31/2018,-6.83
11/30/2018,2.04
12/31/2018,-9.03
01/31/2019,8.01
02/28/2019,3.21
03/31/2019,1.94
04/30/2019,4.05
05/31/2019,-6.35
06/30/2019,7.05
07/31/2019,1.44
08/31/2019,-1.58
09/30/2019,1.87