Date,HY,Agg
9/30/19,0.317,-0.5325
8/30/19,0.39,2.5913
7/31/19,0.512,0.2201
6/28/19,2.452,1.2556
5/31/19,-1.271,1.7752
4/30/19,1.399,0.0256
3/29/19,0.98,1.92
2/28/19,1.688,-0.058
1/31/19,4.593,1.0622
12/31/18,-2.192,1.8371
11/30/18,-0.907,0.5967
10/31/18,-1.638,-0.7901
9/28/18,0.581,-0.6439
8/31/18,0.724,0.6434
7/31/18,1.117,0.0238
6/29/18,0.345,-0.123
5/31/18,-0.015,0.7137
4/30/18,0.665,-0.7437
3/30/18,-0.617,0.6413
2/28/18,-0.932,-0.9479
1/31/18,0.641,-1.1517
12/29/17,0.291,0.459
11/30/17,-0.268,-0.1284
10/31/17,0.386,0.0579
9/29/17,0.898,-0.4763
8/31/17,-0.026,0.897
7/31/17,1.153,0.4303
6/30/17,0.106,-0.1007
5/31/17,0.893,0.7697
4/28/17,1.133,0.7717
3/31/17,-0.21,-0.0524
2/28/17,1.56,0.6721
1/31/17,1.343,0.1962
12/30/16,1.967,0.141
11/30/16,-0.394,-2.3654
10/31/16,0.312,-0.7649
9/30/16,0.647,-0.0586
8/31/16,2.227,-0.1144
7/29/16,2.526,0.6322
6/30/16,1.084,1.7968
5/31/16,0.722,0.0257
4/29/16,3.996,0.3838
3/31/16,4.42,0.9175
2/29/16,0.465,0.7094
1/29/16,-1.582,1.3761
12/31/15,-2.579,-0.3232
11/30/15,-2.245,-0.2642
10/30/15,2.726,0.0166
9/30/15,-2.594,0.6764
8/31/15,-1.761,-0.1436
7/31/15,-0.616,0.6951
6/30/15,-1.525,-1.0904
5/29/15,0.296,-0.2408
4/30/15,1.199,-0.3588
3/31/15,-0.531,0.4644
2/27/15,2.386,-0.9402
1/30/15,0.69,2.0969