Date,Manager A Monthly Return (%),Manager B Monthly Return (%),Manager C Monthly Return (%)
01/31/2015,1.9610,1.58,2.088552771
02/28/2015,-0.5723,-0.53,-0.896415187
03/31/2015,0.3403,-0.14,-0.058586701
04/30/2015,-0.4199,0.32,0.110233265
05/31/2015,-0.5072,-0.12,0.244450562
06/30/2015,-1.3120,-0.58,-1.001935785
07/31/2015,0.8449,-0.32,-0.892477541
08/31/2015,-0.5512,-0.62,-0.126473244
09/30/2015,0.2508,0.29,0.577316213
10/31/2015,0.1844,0.27,-0.259181863
11/30/2015,-0.4844,-0.10,-0.238887522
12/31/2015,-0.5143,-1.09,-0.795377259
01/31/2016,1.0709,1.00,-0.06136592
02/29/2016,0.6828,0.96,0.776987904
03/31/2016,0.7753,0.44,0.087766512
04/30/2016,0.2975,1.69,1.007624621
05/31/2016,0.1686,-0.12,-0.036618995
06/30/2016,1.9067,2.10,1.422140608
07/31/2016,0.7701,0.91,1.060414219
08/31/2016,-0.1049,0.29,0.421215884
09/30/2016,-0.0248,0.23,0.226444275
10/31/2016,-0.9966,-0.42,-0.307798249
11/30/2016,-2.5732,-0.86,0.220832171
12/31/2016,0.3542,0.60,1.193734351
01/31/2017,0.2910,0.44,0.44809434
02/28/2017,0.7080,0.93,0.886206726
03/31/2017,-0.1234,-0.08,-0.082389927
04/30/2017,0.6905,0.90,0.716143036
05/31/2017,0.7529,0.76,0.96265646
06/30/2017,0.0661,0.17,0.206834911
07/31/2017,0.4162,0.60,0.651920035
08/31/2017,0.7351,0.38,0.343114079
09/30/2017,-0.1800,-0.61,-0.319875291
10/31/2017,0.1200,0.19,0.167828923
11/30/2017,-0.1144,-0.17,-0.100672386
12/31/2017,0.5870,0.75,0.151445714
01/31/2018,-0.8526,-0.44,-0.505566631
02/28/2018,-1.1880,-1.43,-0.232908961
03/31/2018,0.4945,0.27,0.16510464
04/30/2018,-0.6026,-0.73,0.344637595
05/31/2018,0.4992,0.28,0.018454552
06/30/2018,-0.0300,0.08,0.483723795
07/31/2018,0.5224,-0.05,0.915914191
08/31/2018,0.4411,0.30,0.542354638
09/30/2018,-0.2914,0.01,0.599707591
10/31/2018,-1.1656,-0.16,-1.50937164
11/30/2018,0.1605,-0.08,-0.519912706
12/31/2018,1.1632,1.69,0.525614869
01/31/2019,2.1055,0.80,0.613640684
02/28/2019,0.0840,0.35,0.006248524
03/31/2019,2.0575,2.22,2.383053978
04/30/2019,0.0012,0.56,0.678196531
05/31/2019,1.4679,0.75,0.65666807
06/30/2019,1.4637,0.91,1.843435735
07/31/2019,0.2791,0.37,0.443217487
08/31/2019,2.5708,2.55,2.05815956